"NCAA","ESPN","ESPN_PBP","Warren_Nolan","Trank","name_247","conference","network_col"
"Nevada","Nevada","Nevada","Nevada","Nevada","Nevada","MWC","royalblue3"
"New Hampshire","UNH","New Hampshire","New Hampshire","New Hampshire","New Hampshire","Am. East","grey"
"New Mexico","New Mexico","New Mexico","New Mexico","New Mexico","New Mexico","MWC","red"
"New Mexico St.","New Mexico St","New Mexica State","New Mexico State","New Mexico St.","New Mexico State","WAC","maroon"
"New Orleans","New Orleans","New Orleans","New Orleans","New Orleans","New Orleans","Southland","royalblue1"
"Niagara","Niagara","Niagara","Niagara","Niagara","Niagara","MAAC","purple"
"Nicholls St.","Nicholls","Nicholls","Nicholls State","Nicholls St.","Nicholls State","Southland","red"
"NJIT","NJIT","NJIT","New Jersey Tech","NJIT","NJIT","A-Sun","red"
"Norfolk St.","Norfolk State","Norfolk State","Norfolk State","Norfolk St.","Norfolk State","MEAC","forestgreen"
"North Ala.","North Alabama","North Alabama","North Alabama","North Alabama","North Ala.","A-Sun","red"
"North Carolina","UNC","North Carolina","North Carolina","North Carolina","North Carolina","ACC","skyblue"
"North Dakota","North Dakota","North Dakota","North Dakota","North Dakota","North Dakota","Summit","seagreen"
"North Dakota St.","North Dakota St","North Dakota St","North Dakota State","North Dakota St.","North Dakota State","Summit","forestgreen"
"North Florida","North Florida","North Florida","North Florida","North Florida","North Florida","A-Sun","royalblue3"
"North Texas","North Texas","North Texas","North Texas","North Texas","North Texas","C-USA","seagreen"
"Northeastern","Northeastern","Northeastern","Northeastern","Northeastern","Northeastern","CAA","red"
"Northern Ariz.","N Arizona","Northern Arizona","Northern Arizona","Northern Arizona","Northern Arizona","Big Sky","gold"
"Northern Colo.","N Colorado","Northern Colorado","Northern Colorado","Northern Colorado","Northern Colorado","Big Sky","gold "
"Northern Ill.","N Illinois","Northen Illinois","Northern Illinois","Northern Illinois","Northern Illinois","MAC","red"
"Northern Ky.","N Kentucky","Northen Kentucky","Northern Kentucky","Northern Kentucky","Northern Kentucky","Horizon","gold"
"Northwestern","Northwestern","Northwestern","Northwestern","Northwestern","Northwestern","Big 10","purple"
"Northwestern St.","Northwestern St","Northwestern State","Northwestern State","Northwestern St.","Northwestern State","Southland","purple"
"Notre Dame","Notre Dame","Notre Dame","Notre Dame","Notre Dame","Notre Dame","ACC","gold"
"Oakland","Oakland","Oakland","Oakland","Oakland","Oakland","Horizon","gold"
"Ohio","Ohio","Ohio","Ohio","Ohio","Ohio","MAC","forestgreen"
"Ohio St.","OSU","Ohio State","Ohio State","Ohio St.","Ohio State","Big 10","red"
"Oklahoma","Oklahoma","Oklahoma","Oklahoma","Oklahoma","Oklahoma","Big 12","firebrick2"
